Variant,alpha,beta,AUC-ROC,Sensitivity,Specificity,Kappa,N_runs
classical,0.5,0.5,0.714 ± 0.358,0.963 ± 0.053,0.348 ± 0.452,0.311 ± 0.409,3
classical,1.0,0.0,0.501 ± 0.481,0.483 ± 0.360,0.511 ± 0.489,0.054 ± 0.814,2
classical,0.0,1.0,0.983 ± 0.001,0.910 ± 0.011,0.975 ± 0.004,0.894 ± 0.005,2
quantum,0.5,0.5,0.699 ± 0.000,0.000 ± 0.000,1.000 ± 0.000,0.000 ± 0.000,1
logistic_baseline,N/A,N/A,0.984 ± 0.000,0.894 ± 0.000,1.000 ± 0.000,0.911 ± 0.000,1
